Running on host node31-032
Time is Mon Oct 22 12:55:24 BST 2018
Directory is /panfs/panasas01/cosc/tp16381
PBS job ID is 7577670.master.cm.cluster
 runtime: 0.000000 s
 runtime: 80.000000 s
 runtime: 80.000000 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 66.000000 s
 runtime: 66.000000 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 55.799999 s
 runtime: 55.799999 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 48.119999 s
 runtime: 48.130001 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 42.175999 s
 runtime: 42.213001 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 37.466801 s
 runtime: 37.549500 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 33.660259 s
 runtime: 33.805229 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 30.529428 s
 runtime: 30.749241 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 27.915064 s
 runtime: 28.217861 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 25.702803 s
 runtime: 26.092674 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 23.808800 s
 runtime: 24.286497 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 22.170433 s
 runtime: 22.734175 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 20.740139 s
 runtime: 21.386339 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 19.481241 s
 runtime: 20.205128 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 18.365065 s
 runtime: 19.161156 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 17.368898 s
 runtime: 18.231373 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 16.474550 s
 runtime: 17.397505 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 15.667288 s
 runtime: 16.644924 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 14.935066 s
 runtime: 15.961812 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 14.267946 s
 runtime: 15.338529 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 13.657658 s
 runtime: 14.767149 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 13.097267 s
 runtime: 14.241100 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 12.580917 s
 runtime: 13.754893 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 12.103630 s
 runtime: 13.303905 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 11.661148 s
 runtime: 12.884221 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 11.249807 s
 runtime: 12.492498 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 10.866441 s
 runtime: 12.125869 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 10.508294 s
 runtime: 11.781857 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 10.172964 s
 runtime: 11.458311 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 9.858340 s
 runtime: 11.153355 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 9.562566 s
 runtime: 10.865343 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 9.283999 s
 runtime: 10.592826 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 9.021183 s
 runtime: 10.334520 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 8.772820 s
 runtime: 10.089286 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 8.537752 s
 runtime: 9.856107 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 8.314939 s
 runtime: 9.634072 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 8.103449 s
 runtime: 9.422365 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 7.902441 s
 runtime: 9.220249 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 7.711155 s
 runtime: 9.027059 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 7.528903 s
 runtime: 8.842190 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 7.355061 s
 runtime: 8.665094 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 7.189060 s
 runtime: 8.495275 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 7.030381 s
 runtime: 8.332273 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 6.878551 s
 runtime: 8.175672 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 6.733137 s
 runtime: 8.025088 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 6.593740 s
 runtime: 7.880170 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 6.459995 s
 runtime: 7.740592 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 6.331564 s
 runtime: 7.606056 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 6.208138 s
 runtime: 7.476285 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 6.089430 s
 runtime: 7.351022 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 5.975174 s
 runtime: 7.230029 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 5.865125 s
 runtime: 7.113085 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 5.759054 s
 runtime: 6.999985 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 5.656750 s
 runtime: 6.890538 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 5.558016 s
 runtime: 6.784564 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 5.462667 s
 runtime: 6.681896 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 5.370534 s
 runtime: 6.582378 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 5.281456 s
 runtime: 6.485864 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 5.195284 s
 runtime: 6.392217 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 5.111878 s
 runtime: 6.301308 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 5.031106 s
 runtime: 6.213016 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.952847 s
 runtime: 6.127226 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.876985 s
 runtime: 6.043833 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.803410 s
 runtime: 5.962734 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.732022 s
 runtime: 5.883834 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.662724 s
 runtime: 5.807044 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.595426 s
 runtime: 5.732278 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.530042 s
 runtime: 5.659455 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.466493 s
 runtime: 5.588500 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.404701 s
 runtime: 5.519341 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.344595 s
 runtime: 5.451907 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.286107 s
 runtime: 5.386136 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.229173 s
 runtime: 5.321964 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.173731 s
 runtime: 5.259333 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.119723 s
 runtime: 5.198188 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.067096 s
 runtime: 5.138476 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 4.015795 s
 runtime: 5.080145 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.965773 s
 runtime: 5.023149 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.916981 s
 runtime: 4.967440 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.869374 s
 runtime: 4.912974 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.822911 s
 runtime: 4.859711 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.777550 s
 runtime: 4.807610 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.733253 s
 runtime: 4.756633 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.689983 s
 runtime: 4.706744 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.647704 s
 runtime: 4.657907 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.606383 s
 runtime: 4.610090 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.565987 s
 runtime: 4.563259 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.526486 s
 runtime: 4.517385 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.487850 s
 runtime: 4.472439 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.450052 s
 runtime: 4.428391 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.413064 s
 runtime: 4.385215 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.376861 s
 runtime: 4.342885 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.341417 s
 runtime: 4.301377 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.306710 s
 runtime: 4.260665 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.272716 s
 runtime: 4.220727 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.239414 s
 runtime: 4.181542 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.206783 s
 runtime: 4.143087 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.174802 s
 runtime: 4.105342 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.143453 s
 runtime: 4.068288 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.112717 s
 runtime: 4.031906 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.082577 s
 runtime: 3.996176 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.053014 s
 runtime: 3.961082 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 3.024013 s
 runtime: 3.926607 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.995557 s
 runtime: 3.892734 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.967632 s
 runtime: 3.859448 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.940223 s
 runtime: 3.826732 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.913316 s
 runtime: 3.794574 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.886896 s
 runtime: 3.762957 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.860951 s
 runtime: 3.731869 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.835469 s
 runtime: 3.701296 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.810436 s
 runtime: 3.671226 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.785841 s
 runtime: 3.641645 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.761673 s
 runtime: 3.612543 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.737921 s
 runtime: 3.583907 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.714573 s
 runtime: 3.555726 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.691621 s
 runtime: 3.527989 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.669053 s
 runtime: 3.500687 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.646861 s
 runtime: 3.473808 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.625035 s
 runtime: 3.447343 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.603565 s
 runtime: 3.421282 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.582444 s
 runtime: 3.395615 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.561663 s
 runtime: 3.370335 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.541214 s
 runtime: 3.345433 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.521088 s
 runtime: 3.320898 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.501279 s
 runtime: 3.296725 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.481779 s
 runtime: 3.272904 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.462580 s
 runtime: 3.249428 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.443676 s
 runtime: 3.226290 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.425060 s
 runtime: 3.203481 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.406725 s
 runtime: 3.180996 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.388666 s
 runtime: 3.158827 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.370876 s
 runtime: 3.136968 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.353348 s
 runtime: 3.115411 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.336078 s
 runtime: 3.094151 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.319060 s
 runtime: 3.073183 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.302287 s
 runtime: 3.052498 s
 runtime: 0.000000 s
 runtime: 0.000000 s
 runtime: 2.285756 s
 runtime: 3.032093 s
 runtime: 0.000000 s
